group,n,base_rate,selection_rate,TP,FP,TN,FN,TPR,FPR,FNR,PPV,NPV,reference_group,disparate_impact,four_fifths_rule_pass
sex=Male|race=White,9561,0.31126451208032635,0.5348812885681414,2719,2395,4190,257,0.9136424731182796,0.36370539104024296,0.08635752688172044,0.5316777473601877,0.9422082302675961,sex=Male|race=White,1.0,True
sex=Female|race=White,4385,0.11721778791334093,0.14321550741163055,368,260,3611,146,0.7159533073929961,0.06716610694910875,0.2840466926070039,0.5859872611464968,0.9611392068139473,sex=Male|race=White,0.26775194883899095,False
sex=Male|race=Black,808,0.16955445544554457,0.30074257425742573,125,118,553,12,0.9124087591240876,0.17585692995529062,0.08759124087591241,0.51440329218107,0.9787610619469026,sex=Male|race=White,0.5622604130768962,False
sex=Female|race=Black,753,0.055776892430278883,0.06905710491367861,25,27,684,17,0.5952380952380952,0.0379746835443038,0.40476190476190477,0.4807692307692308,0.9757489300998573,sex=Male|race=White,0.12910734847080196,False
sex=Male|race=Asian-Pac-Islander,309,0.34627831715210355,0.5339805825242718,97,68,134,10,0.9065420560747663,0.33663366336633666,0.09345794392523364,0.5878787878787879,0.9305555555555556,sex=Male|race=White,0.9983160636516548,True
sex=Female|race=Asian-Pac-Islander,171,0.15204678362573099,0.1871345029239766,18,14,131,8,0.6923076923076923,0.09655172413793103,0.3076923076923077,0.5625,0.9424460431654677,sex=Male|race=White,0.34986174862263203,False
sex=Male|race=Amer-Indian-Eskimo,93,0.17204301075268819,0.3763440860215054,16,19,58,0,1.0,0.24675324675324675,0.0,0.45714285714285713,1.0,sex=Male|race=White,0.7036030126029748,False
sex=Male|race=Other,89,0.2247191011235955,0.2808988764044944,18,7,62,2,0.9,0.10144927536231885,0.1,0.72,0.96875,sex=Male|race=White,0.5251611570792669,False
sex=Female|race=Amer-Indian-Eskimo,66,0.045454545454545456,0.10606060606060606,3,4,59,0,1.0,0.06349206349206349,0.0,0.42857142857142855,1.0,sex=Male|race=White,0.1982881217335656,False
sex=Female|race=Other,46,0.10869565217391304,0.10869565217391304,4,1,40,1,0.8,0.024390243902439025,0.2,0.8,0.975609756097561,sex=Male|race=White,0.2032145346958902,False
